file_name,risk,report
freeway_0000,0,nothing will happend
freeway_0001,0,nothing will happend
freeway_0002,0,nothing will happend
freeway_0003,0,nothing will happend
freeway_0004,0,nothing will happend
freeway_0005,0,nothing will happend
freeway_0006,1,crash
freeway_0007,0,nothing will happend
freeway_0008,0,nothing will happend
freeway_0009,1,accident
freeway_0010,1,"The potential risk ahead is that the car is following a bus on the right side of the road, which could lead to a collision if the bus stops suddenly or if the car driver fails to notice the bus."
freeway_0011,0,nothing will happend
freeway_0012,1,speed camera
freeway_0013,1,crash
freeway_0014,0,nothing will happend
freeway_0015,0,nothing will happend
freeway_0016,0,nothing will happend
freeway_0017,1,The risk ahead is the possibility of a sudden lane change or a vehicle stopping in the middle of the road.
freeway_0018,0,nothing will happend
freeway_0019,1,accident
freeway_0020,0,nothing will happend
freeway_0021,0,nothing will happend
freeway_0022,0,nothing will happend
freeway_0023,0,nothing will happend
freeway_0024,1,The potential risk ahead is that the car is approaching from the opposite direction.
freeway_0025,0,nothing will happend
freeway_0026,0,nothing will happend
freeway_0027,1,"The potential risk ahead is that the black car is approaching from the right side of the road, which could cause a collision if the black car does not slow down or stop."
freeway_0028,0,nothing will happend
freeway_0029,1,potential accident
freeway_0030,1,Potential risk: The black car is stopped on the right side of the road. This could indicate that the driver might be waiting for a traffic light or for a specific reason. It is important to be cautious and maintain a safe distance from the stopped vehicle to avoid any accidents.
freeway_0031,0,nothing will happend
freeway_0032,0,nothing will happend
freeway_0033,0,nothing will happend
freeway_0034,0,nothing will happend
freeway_0035,0,nothing will happend
freeway_0036,0,nothing will happend
freeway_0037,1,crash
freeway_0038,0,nothing will happend
freeway_0039,0,nothing will happend
freeway_0040,0,nothing will happend
freeway_0041,1,"The potential risk ahead is that the bus is approaching, which could cause a collision if the driver does not maintain a safe distance."
freeway_0042,1,accident
freeway_0043,1,"The potential risk ahead is that the truck is driving too fast, which could lead to an accident."
freeway_0044,0,nothing will happend
freeway_0045,0,nothing will happend
freeway_0046,0,nothing will happend
freeway_0047,1,tow truck
freeway_0048,0,nothing will happend
freeway_0049,0,nothing will happend
freeway_0050,1,"The risk ahead is the possibility of a truck or other vehicles to overtake or change lanes, which could lead to a collision."
freeway_0051,1,Potential risk: lane change ahead
freeway_0052,0,nothing will happend
freeway_0053,0,nothing will happend
freeway_0054,0,nothing will happend
freeway_0055,0,nothing will happend
freeway_0056,1,The risk ahead is the possibility of a sudden lane change or a vehicle stopping in the middle of the road.
freeway_0057,1,crash
freeway_0058,1,crash
